"utm10","especie"
"NB96","Lepus granatensis"
"NC27","Erinaceus europaeus"
"PC39","Vulpes vulpes"
"NG80","Crocidura suaveolens"
"NC87","Talpa occidentalis"
"NE45","Apodemus sylvaticus"
"NF44","Mus musculus"
"PD19","Oryctolagus cuniculus"
"NC06","Microtus lusitanicus"
"PD31","Oryctolagus cuniculus"
"PB06","Herpestes ichneumon"
"NC78","Lepus granatensis"
"NC25","Meles meles"
"PF59","Microtus cabrerae"
"PE78","Capreolus capreolus"
"PC07","Microtus cabrerae"
"NC55","Martes foina"
"PD20","Oryctolagus cuniculus"
"NE41","Capreolus capreolus"
"PD60","Mus spretus"
"NF20","Mus spretus"
"NC75","Lepus granatensis"
"PE37","Martes foina"
"PB18","Meles meles"
"PB18","Sorex granarius"
"NF56","Apodemus sylvaticus"
"NC58","Vulpes vulpes"
"ND18","Oryctolagus cuniculus"
"PF13","Microtus agrestis"
"PE79","Capreolus capreolus"
"NC66","Microtus cabrerae"
"NB34","Mus spretus"
"NC62","Apodemus sylvaticus"
"NC67","Talpa occidentalis"
"MD94","Mus spretus"
"MD61","Microtus lusitanicus"
"NC58","Oryctolagus cuniculus"
"NC60","Vulpes vulpes"
"NC58","Martes foina"
"MC69","Mus spretus"
"NC09","Mus spretus"
"NC46","Mus spretus"
"PF72","Microtus agrestis"
"NC31","Apodemus sylvaticus"
"PF87","Apodemus sylvaticus"
"PE62","Cervus elaphus"
"MC69","Crocidura russula"
"NC68","Oryctolagus cuniculus"
"NF71","Microtus agrestis"
"NC65","Apodemus sylvaticus"
"PE62","Vulpes vulpes"
"NB96","Oryctolagus cuniculus"
"MD94","Apodemus sylvaticus"
"NF72","Oryctolagus cuniculus"
"PG82","Lepus granatensis"
"NB68","Oryctolagus cuniculus"
"NB79","Mus spretus"
"NE68","Sus scrofa"
"NC30","Vulpes vulpes"
"NB79","Oryctolagus cuniculus"
"MD97","Apodemus sylvaticus"
"NC87","Lepus granatensis"
"ND59","Microtus lusitanicus"
"PD40","Vulpes vulpes"
"NC57","Oryctolagus cuniculus"
"MC99","Rattus norvegicus"
"PC22","Oryctolagus cuniculus"
"NF62","Sus scrofa"
"QF29","Sus scrofa"
"NB81","Martes foina"
"MD60","Crocidura russula"
"NB63","Herpestes ichneumon"
"PD49","Apodemus sylvaticus"
"QF19","Crocidura russula"
"NF66","Apodemus sylvaticus"
"MD70","Apodemus sylvaticus"
"NC26","Sus scrofa"
"PF12","Oryctolagus cuniculus"
"NC66","Talpa occidentalis"
"ND28","Meles meles"
"ND17","Apodemus sylvaticus"
"ND90","Oryctolagus cuniculus"
"NB33","Microtus cabrerae"
"ND70","Lepus granatensis"
"PG82","Apodemus sylvaticus"
"QF08","Crocidura russula"
"NC37","Meles meles"
"ND91","Oryctolagus cuniculus"
"NF62","Capreolus capreolus"
"NC57","Martes foina"
"SantaMaria","Mus musculus"
"PB28","Crocidura russula"
"PF99","Crocidura russula"
"NG40","Talpa occidentalis"
"ND07","Meles meles"
"PC15","Lepus granatensis"
"PD17","Talpa occidentalis"
"NB67","Lepus granatensis"
"QF17","Capreolus capreolus"
"NF25","Crocidura russula"
"MC88","Mus musculus"
"NC68","Meles meles"
"PF70","Meles meles"
"PF98","Vulpes vulpes"
"NE74","Sus scrofa"
"ND18","Apodemus sylvaticus"
"QG21","Microtus arvalis"
"NC80","Lutra lutra"
"ND49","Vulpes vulpes"
"ND17","Mus spretus"
"NF30","Genetta genetta"
"NE63","Capreolus capreolus"
"NC46","Microtus duodecimcostatus"
"NC66","Apodemus sylvaticus"
"PF63","Microtus cabrerae"
"NC30","Crocidura russula"
"NC47","Mustela putorius"
"PC18","Microtus cabrerae"
"NC87","Mus spretus"
"PF70","Oryctolagus cuniculus"
"QG11","Vulpes vulpes"
"NE63","Sus scrofa"
"NC83","Mus spretus"
"NB38","Lepus granatensis"
"ND37","Sciurus vulgaris"
"NF36","Apodemus sylvaticus"
"NF97","Galemys pyrenaicus"
"NC46","Crocidura russula"
"NC29","Apodemus sylvaticus"
"NB27","Talpa occidentalis"
"NF27","Microtus lusitanicus"
"NE52","Martes foina"
"NG23","Microtus agrestis"
"NE29","Rattus norvegicus"
"NF27","Mus spretus"
"PG64","Microtus agrestis"
"NC46","Microtus cabrerae"
"PF79","Mus spretus"
"PC09","Oryctolagus cuniculus"
"PE62","Martes foina"
"PE65","Sus scrofa"
"NE46","Apodemus sylvaticus"
"PG94","Cervus elaphus"
"NC66","Herpestes ichneumon"
"NC09","Apodemus sylvaticus"
"NB87","Mus spretus"
"PC58","Arvicola sapidus"
"PE67","Genetta genetta"
"PC51","Herpestes ichneumon"
