"utm10","especie"
"PG11","Sorex granarius"
"PG11","Sorex minutus"
"PF13","Sorex granarius"
"NE29","Talpa occidentalis"
"NG22","Sorex granarius"
"NG22","Sorex minutus"
"NG22","Talpa occidentalis"
"NF49","Sorex granarius"
"NF49","Talpa occidentalis"
"NG61","Sorex granarius"
"PG83","Sorex granarius"
"PG83","Talpa occidentalis"
"NG24","Neomys anomalus"
"NG24","Sorex granarius"
"NG24","Sorex minutus"
"NG24","Talpa occidentalis"
"QF29","Talpa occidentalis"
"NF71","Neomys anomalus"
"NF71","Sorex granarius"
"NF71","Sorex minutus"
"NE46","Talpa occidentalis"
"NC35","Talpa occidentalis"
"NC67","Talpa occidentalis"
"NC77","Talpa occidentalis"
"ND69","Sorex granarius"
"MD97","Sorex granarius"
"MD86","Sorex granarius"
"MD97","Talpa occidentalis"
"MD74","Sorex granarius"
"ND39","Sorex granarius"
"MD74","Talpa occidentalis"
"NB33","Talpa occidentalis"
"NC66","Talpa occidentalis"
"NC76","Talpa occidentalis"
"NC86","Talpa occidentalis"
"PC02","Talpa occidentalis"
"PC32","Talpa occidentalis"
"NG82","Neomys anomalus"
"NG82","Sorex granarius"
"NC75","Talpa occidentalis"
"NC78","Talpa occidentalis"
"PC18","Talpa occidentalis"
"NB68","Talpa occidentalis"
"NB98","Talpa occidentalis"
"PB07","Talpa occidentalis"
"PC28","Talpa occidentalis"
"NC46","Talpa occidentalis"
"PC27","Talpa occidentalis"
"NC85","Crocidura russula"
"NC86","Crocidura russula"
"NC87","Crocidura russula"
"NC88","Crocidura russula"
"NB17","Talpa occidentalis"
"NB27","Talpa occidentalis"
"NB18","Talpa occidentalis"
"PG51","Talpa occidentalis"
"NB28","Talpa occidentalis"
"NE52","Talpa occidentalis"
"PC06","Talpa occidentalis"
"PC08","Talpa occidentalis"
"NC32","Talpa occidentalis"
"NC96","Talpa occidentalis"
"NC83","Talpa occidentalis"
"NC65","Talpa occidentalis"
"PC19","Talpa occidentalis"
"NC99","Talpa occidentalis"
"PG82","Crocidura russula"
"NC97","Talpa occidentalis"
"PF69","Crocidura russula"
"QG10","Crocidura russula"
"PF87","Crocidura russula"
"PF67","Crocidura russula"
"QF07","Crocidura russula"
"QF08","Crocidura russula"
"QF08","Talpa occidentalis"
"PF99","Crocidura russula"
"PG90","Crocidura russula"
"PG83","Crocidura russula"
"PF79","Crocidura russula"
"PG70","Crocidura russula"
"PG93","Crocidura russula"
"NC98","Talpa occidentalis"
"PC09","Talpa occidentalis"
"NC95","Talpa occidentalis"
"PC17","Talpa occidentalis"
